Itchy & Scratchy,	Dan Castellaneta\Harry Shearer,	"There's No Disgrace Like Home",	11/20/1988
Jacques,	Albert Brooks,	"Life on the Fast Lane",	3/18/1990
Jake,	Dan Castellaneta\Harry Shearer,	"Simpson and Delilah",	11/15/1987
Jimbo Jones,	Pamela Hayden,	"The Telltale Head",	2/25/1990
Rachel Jordan,	Shawn Colvin,	"Alone Again, Natura-Diddily",	2/13/2000
Kang and Kodos,	Harry Shearer\Dan Castellaneta,	"Treehouse of Horror",	10/25/1990
Princess Kashmir,	Maggie Roswell,	"Homer's Night Out",	3/25/1990
Edna Krabappel,	Marcia Wallace,	"Bart the Genius",	1/14/1990
Rabbi Hyman Krustofski,	Jackie Mason\Dan Castellaneta,	"Like Father, Like Clown",	10/24/1991
Krusty the Clown,	Dan Castellaneta,	"The Telltale Head",	1/15/1989
Cookie Kwan,	Tress MacNeille,	"Realty Bites",	12/7/1997
Dewey Largo,	Harry Shearer,	"Simpsons Roasting on an Open Fire",	12/17/1989
Legs and Louie,	Hank Azaria\Dan Castellaneta,	"Bart the Murderer",	10/10/1991
Lenny Leonard,	Harry Shearer,	"Life on the Fast Lane",	3/18/1990
Leopold,	Dan Castellaneta,	"Sweet Seymour Skinner's Baadasssss Song",	4/28/1994
Lewis Clark,	Russi Taylor,	"Simpsons Roasting on an Open Fire",	12/17/1989
Lisa Simpson,	Yeardley Smith,	"Good Night (The Simpsons short)",	4/19/1987
Helen Lovejoy,	Maggie Roswell,	"Life on the Fast Lane",	3/18/1990
Reverend Timothy Lovejoy,	Harry Shearer,	"The Telltale Head",	2/25/1990
Lurleen Lumpkin,	Beverly D'Angelo\Doris Grau,	"Colonel Homer",	3/26/1992
Maggie Simpson,	Liz Georges\Gábor Csupó\Harry Shearer\Yeardley Smith\Nancy Cartwright\Elizabeth Taylor\ James Earl Jones\Jodie Foster,	"Good Night (The Simpsons short)",	4/19/1987
Otto Mann,	Harry Shearer,	"Homer's Odyssey",	1/21/1990
Marge Simpson,	Julie Kavner,	"Good Night (The Simpsons short),	4/19/1987
Captain Horatio McCallister,	Hank Azaria,	"New Kid on the Block",	11/12/1992
Troy McClure,	Phil Hartman,	"Homer vs. Lisa and the 8th Commandment",	2/7/1991
Roger Meyers Jr.,	Alex Rocco\Dan Castellaneta,	"Itchy & Scratchy & Marge",	12/20/1990
Hans Moleman,	Dan Castellaneta,	"Principal Charming",	2/14/1991
Dr. Marvin Monroe,	Harry Shearer,	"There's No Disgrace Like Home",	1/28/1990
Captain Lance Murdock,	Dan Castellaneta,	"Bart the Daredevil",	12/6/1990
Bleeding Gums Murphy,	Ron Taylor,	"Moaning Lisa",	2/11/1990
Lindsey Naegle,	Tress MacNeille,	"The Itchy & Scratchy & Poochie Show",	2/9/1997
